"account_id","class","follower","nation"
"7111412","official",3019841,"UK"
"25829339","official",52712,"UK"
"32836955","official",39261,"UK"
"105082141","official",1485309,"ES"
"114508061","official",1491581,"DE"
"295713773","official",36804,"UK"
"15179672","official",225095,"UK"
"19232587","official",598046,"DE"
"5893702","official",2999956,"IT"
"21391703","official",68926,"UK"
"48310425","official",19382,"UK"
"20015311","showbiz",13289934,NA
"15254807","official",1175854,"IT"
"21990813","official",24420,"AE"
"21303235","official",297996,"US"
"950343771752947713","official",335,"UK"
"38630618","official",186911,"UK"
"22640712","official",10441,"UK"
"25098482","official",1359217,"US"
"250625693","official",2765,"FR"
"6439122","official",1386879,"IT"
"150725695","official",1036713,"IT"
"65322179","official",49101,"UK"
"16683666","official",140250,"UK"
"50643002","official",148229,"FR"
"1113932371","official",11049,"IT"
"16828440","official",75588,"UK"
"140821364","politician",85281,"DE"
"38689870","official",14808,"US"
"84364416","official",66170,"UK"
"180730766","official",5410,"FR"
"111310053","official",11488,"UK"
"1113920359","official",10269,"ES"
"84279963","showbiz",33270468,"UK"
"16043037","official",36054,"UK"
"102340461","official",15530,"UK"
"18949452","official",3494557,"UK"
"8795772","official",462297,"US"
"1079392316","official",9677,"UK"
"12663042","official",26005,"US"
"38142380","official",602660,"UK"
"19658826","official",3433198,"UK"
"333366997","official",18907,"FR"
"216739115","official",42936,"ES"
"18213483","official",1298765,"UK"
"21332200","official",224360,"US"
"45840503","official",57616,"UK"
"113004484","official",2689,"UK"
"15965292","official",253528,"US"
"19019298","official",87837,"US"
"36683668","official",709671,"US"
"8940342","official",612515,"US"
"32372834","official",1255023,"US"
"16184358","official",1740402,"US"
"20510539","official",486381,"AE"
"624413","official",3623262,"US"
"14304462","official",266295,"US"
"15295015","official",329891,"US"
"26060210","official",19625,"US"
"17919972","showbiz",83444093,NA
"272019676","official",268981,"US"
"16550142","official",266075,"US"
"143142203","official",15181,"UK"
"20595239","official",73714,"UK"
"38507478","official",42714,"US"
"9300262","official",3778439,"US"
"91156289","official",35789,"US"
"16726035","official",87995,"US"
"133880286","showbiz",19055172,"US"
"29449278","official",16404,"US"
"34507480","showbiz",63014841,NA
"23987282","official",72235,"US"
"17487795","official",46018,"US"
"57288354","official",108748,"UK"
"16834046","official",1273983,"US"
